Complaint,Category,Subcategory,Priority
Missing or Damaged Signs is slightly malfunctioning Might be dangerous.,Road and Traffic,Missing or Damaged Signs,Medium
Missing or Damaged Signs has minor problems.,Road and Traffic,Missing or Damaged Signs,Low
Something isn't right with the missing or damaged signs,Road and Traffic,Missing or Damaged Signs,Low
I saw a small problem in the missing or damaged signs Urgent check needed.,Road and Traffic,Missing or Damaged Signs,Low
Missing or Damaged Signs is not functioning well Needs urgent review.,Road and Traffic,Missing or Damaged Signs,Low
Something isn't right with the missing or damaged signs.,Road and Traffic,Missing or Damaged Signs,Low
Missing or Damaged Signs has minor problems Needs attention.,Road and Traffic,Missing or Damaged Signs,High
Missing or Damaged Signs is slightly malfunctioning Needs quick inspection.,Road and Traffic,Missing or Damaged Signs,Medium
I saw a small problem in the missing or damaged signs.,Road and Traffic,Missing or Damaged Signs,Medium
Reported a minor issue in missing or damaged signs Not working as it should.,Road and Traffic,Missing or Damaged Signs,Medium
Missing or Damaged Signs is not functioning well Urgent check needed.,Road and Traffic,Missing or Damaged Signs,Critical
Missing or Damaged Signs is slightly malfunctioning Urgent check needed.,Road and Traffic,Missing or Damaged Signs,Medium
Missing or Damaged Signs is not functioning well Might be dangerous.,Road and Traffic,Missing or Damaged Signs,Medium
The missing or damaged signs needs attention Needs quick inspection.,Road and Traffic,Missing or Damaged Signs,High
There is an issue with the missing or damaged signs Needs attention.,Road and Traffic,Missing or Damaged Signs,Medium
Something isn't right with the missing or damaged signs Not working as it should.,Road and Traffic,Missing or Damaged Signs,High
Missing or Damaged Signs has minor problems Urgent check needed.,Road and Traffic,Missing or Damaged Signs,Low
The missing or damaged signs needs attention,Road and Traffic,Missing or Damaged Signs,High
The missing or damaged signs needs attention Please fix it.,Road and Traffic,Missing or Damaged Signs,High
The missing or damaged signs needs attention Can someone check?,Road and Traffic,Missing or Damaged Signs,Critical
Reported a minor issue in missing or damaged signs,Road and Traffic,Missing or Damaged Signs,Low
The missing or damaged signs needs attention Not working as it should.,Road and Traffic,Missing or Damaged Signs,Medium
Missing or Damaged Signs is not functioning well,Road and Traffic,Missing or Damaged Signs,Critical
Missing or Damaged Signs is not functioning well Please fix it.,Road and Traffic,Missing or Damaged Signs,Critical
Reported a minor issue in missing or damaged signs Can someone check?,Road and Traffic,Missing or Damaged Signs,Critical
The missing or damaged signs needs attention Urgent check needed.,Road and Traffic,Missing or Damaged Signs,Medium
Missing or Damaged Signs is slightly malfunctioning Please fix it.,Road and Traffic,Missing or Damaged Signs,Low
Missing or Damaged Signs has minor problems Might be dangerous.,Road and Traffic,Missing or Damaged Signs,High
The missing or damaged signs needs attention.,Road and Traffic,Missing or Damaged Signs,High
Missing or Damaged Signs is slightly malfunctioning Can someone check?,Road and Traffic,Missing or Damaged Signs,Low
Reported a minor issue in missing or damaged signs Needs quick inspection.,Road and Traffic,Missing or Damaged Signs,High
Missing or Damaged Signs is not functioning well Needs quick inspection.,Road and Traffic,Missing or Damaged Signs,Critical
I saw a small problem in the missing or damaged signs Not working as it should.,Road and Traffic,Missing or Damaged Signs,Low
Missing or Damaged Signs has minor problems Needs quick inspection.,Road and Traffic,Missing or Damaged Signs,Medium
There is an issue with the missing or damaged signs Needs quick inspection.,Road and Traffic,Missing or Damaged Signs,Medium
Missing or Damaged Signs seems broken Please fix it.,Road and Traffic,Missing or Damaged Signs,High
Missing or Damaged Signs seems broken Not working as it should.,Road and Traffic,Missing or Damaged Signs,High
Reported a minor issue in missing or damaged signs.,Road and Traffic,Missing or Damaged Signs,High
There is an issue with the missing or damaged signs Not working as it should.,Road and Traffic,Missing or Damaged Signs,Medium
Reported a minor issue in missing or damaged signs Might be dangerous.,Road and Traffic,Missing or Damaged Signs,Medium
The missing or damaged signs is not working Needs quick inspection.,Road and Traffic,Missing or Damaged Signs,Critical
Reported a minor issue in missing or damaged signs Needs attention.,Road and Traffic,Missing or Damaged Signs,Medium
The missing or damaged signs is not working Might be dangerous.,Road and Traffic,Missing or Damaged Signs,High
Something isn't right with the missing or damaged signs Can someone check?,Road and Traffic,Missing or Damaged Signs,Low
Reported a minor issue in missing or damaged signs Please fix it.,Road and Traffic,Missing or Damaged Signs,High
The missing or damaged signs needs attention Needs urgent review.,Road and Traffic,Missing or Damaged Signs,Low
Missing or Damaged Signs is slightly malfunctioning,Road and Traffic,Missing or Damaged Signs,Low
I saw a small problem in the missing or damaged signs Please fix it.,Road and Traffic,Missing or Damaged Signs,Low
Missing or Damaged Signs seems broken Needs urgent review.,Road and Traffic,Missing or Damaged Signs,Medium
Something isn't right with the missing or damaged signs Urgent check needed.,Road and Traffic,Missing or Damaged Signs,High
I saw a small problem in the missing or damaged signs Needs attention.,Road and Traffic,Missing or Damaged Signs,High
Reported a minor issue in missing or damaged signs Needs urgent review.,Road and Traffic,Missing or Damaged Signs,Low
There is an issue with the missing or damaged signs Might be dangerous.,Road and Traffic,Missing or Damaged Signs,Medium
The missing or damaged signs is not working Not working as it should.,Road and Traffic,Missing or Damaged Signs,High
Something isn't right with the missing or damaged signs Might be dangerous.,Road and Traffic,Missing or Damaged Signs,Critical
The missing or damaged signs is not working Please fix it.,Road and Traffic,Missing or Damaged Signs,High
Missing or Damaged Signs seems broken Can someone check?,Road and Traffic,Missing or Damaged Signs,Critical
Something isn't right with the missing or damaged signs Needs quick inspection.,Road and Traffic,Missing or Damaged Signs,High
Something isn't right with the missing or damaged signs Please fix it.,Road and Traffic,Missing or Damaged Signs,Critical
Missing or Damaged Signs seems broken Urgent check needed.,Road and Traffic,Missing or Damaged Signs,Low
There is an issue with the road surface damage,Road and Traffic,Road Surface Damage,Medium
Road Surface Damage seems broken Urgent check needed.,Road and Traffic,Road Surface Damage,High
Reported a minor issue in road surface damage Not working as it should.,Road and Traffic,Road Surface Damage,Medium
I saw a small problem in the road surface damage Needs urgent review.,Road and Traffic,Road Surface Damage,High
Road Surface Damage is not functioning well.,Road and Traffic,Road Surface Damage,Medium
The road surface damage is not working,Road and Traffic,Road Surface Damage,High
Something isn't right with the road surface damage Please fix it.,Road and Traffic,Road Surface Damage,High
Road Surface Damage seems broken Might be dangerous.,Road and Traffic,Road Surface Damage,Medium
The road surface damage needs attention Can someone check?,Road and Traffic,Road Surface Damage,Medium
The road surface damage is not working Urgent check needed.,Road and Traffic,Road Surface Damage,High
Road Surface Damage is slightly malfunctioning Urgent check needed.,Road and Traffic,Road Surface Damage,Medium
The road surface damage needs attention.,Road and Traffic,Road Surface Damage,Low
The road surface damage needs attention Not working as it should.,Road and Traffic,Road Surface Damage,High
Road Surface Damage is not functioning well Please fix it.,Road and Traffic,Road Surface Damage,Critical
Road Surface Damage is not functioning well Urgent check needed.,Road and Traffic,Road Surface Damage,Low
I saw a small problem in the road surface damage Needs quick inspection.,Road and Traffic,Road Surface Damage,Low
There is an issue with the road surface damage Might be dangerous.,Road and Traffic,Road Surface Damage,High
Road Surface Damage has minor problems Not working as it should.,Road and Traffic,Road Surface Damage,High
Road Surface Damage seems broken Not working as it should.,Road and Traffic,Road Surface Damage,Medium
Road Surface Damage has minor problems Needs urgent review.,Road and Traffic,Road Surface Damage,Low
There is an issue with the road surface damage Needs attention.,Road and Traffic,Road Surface Damage,High
Road Surface Damage is not functioning well Needs attention.,Road and Traffic,Road Surface Damage,Critical
Road Surface Damage is slightly malfunctioning.,Road and Traffic,Road Surface Damage,Critical
The road surface damage is not working Needs quick inspection.,Road and Traffic,Road Surface Damage,Medium
Road Surface Damage seems broken Can someone check?,Road and Traffic,Road Surface Damage,High
Road Surface Damage seems broken Needs urgent review.,Road and Traffic,Road Surface Damage,Medium
Reported a minor issue in road surface damage.,Road and Traffic,Road Surface Damage,Low
Something isn't right with the road surface damage Might be dangerous.,Road and Traffic,Road Surface Damage,High
Something isn't right with the road surface damage Urgent check needed.,Road and Traffic,Road Surface Damage,Medium
Road Surface Damage has minor problems,Road and Traffic,Road Surface Damage,Low
Road Surface Damage is slightly malfunctioning Not working as it should.,Road and Traffic,Road Surface Damage,Low
I saw a small problem in the road surface damage Might be dangerous.,Road and Traffic,Road Surface Damage,Medium
I saw a small problem in the road surface damage,Road and Traffic,Road Surface Damage,High
Reported a minor issue in road surface damage Needs attention.,Road and Traffic,Road Surface Damage,High
Road Surface Damage has minor problems Can someone check?,Road and Traffic,Road Surface Damage,Low
The road surface damage is not working Can someone check?,Road and Traffic,Road Surface Damage,Critical
Something isn't right with the road surface damage,Road and Traffic,Road Surface Damage,Medium
Reported a minor issue in road surface damage Please fix it.,Road and Traffic,Road Surface Damage,High
Road Surface Damage seems broken Needs attention.,Road and Traffic,Road Surface Damage,Medium
I saw a small problem in the road surface damage Can someone check?,Road and Traffic,Road Surface Damage,Medium
There is an issue with the road surface damage Urgent check needed.,Road and Traffic,Road Surface Damage,Low
The road surface damage needs attention Needs urgent review.,Road and Traffic,Road Surface Damage,Medium
Something isn't right with the road surface damage Needs urgent review.,Road and Traffic,Road Surface Damage,Medium
Reported a minor issue in road surface damage Needs urgent review.,Road and Traffic,Road Surface Damage,Low
Reported a minor issue in road surface damage Needs quick inspection.,Road and Traffic,Road Surface Damage,Critical
Something isn't right with the road surface damage.,Road and Traffic,Road Surface Damage,Critical
Reported a minor issue in road surface damage Might be dangerous.,Road and Traffic,Road Surface Damage,Critical
Reported a minor issue in road surface damage Can someone check?,Road and Traffic,Road Surface Damage,Critical
Road Surface Damage is not functioning well Not working as it should.,Road and Traffic,Road Surface Damage,Low
Road Surface Damage is slightly malfunctioning Can someone check?,Road and Traffic,Road Surface Damage,Low
Road Surface Damage is slightly malfunctioning,Road and Traffic,Road Surface Damage,High
I saw a small problem in the road surface damage Not working as it should.,Road and Traffic,Road Surface Damage,Medium
The road surface damage needs attention Might be dangerous.,Road and Traffic,Road Surface Damage,High
The road surface damage is not working Might be dangerous.,Road and Traffic,Road Surface Damage,Medium
I saw a small problem in the road surface damage.,Road and Traffic,Road Surface Damage,High
Something isn't right with the road surface damage Can someone check?,Road and Traffic,Road Surface Damage,Critical
The road surface damage is not working Needs attention.,Road and Traffic,Road Surface Damage,Low
Road Surface Damage seems broken Needs quick inspection.,Road and Traffic,Road Surface Damage,Critical
Road Surface Damage is not functioning well Needs urgent review.,Road and Traffic,Road Surface Damage,Medium
Road Surface Damage seems broken Please fix it.,Road and Traffic,Road Surface Damage,High
Something isn't right with the road surface damage Needs attention.,Road and Traffic,Road Surface Damage,Low
Road Surface Damage seems broken,Road and Traffic,Road Surface Damage,Low
Something isn't right with the road surface damage Not working as it should.,Road and Traffic,Road Surface Damage,High
Road Surface Damage is slightly malfunctioning Needs quick inspection.,Road and Traffic,Road Surface Damage,Medium
Something isn't right with the road surface damage Needs quick inspection.,Road and Traffic,Road Surface Damage,Medium
There is an issue with the road surface damage Needs quick inspection.,Road and Traffic,Road Surface Damage,Medium
Road Surface Damage has minor problems Might be dangerous.,Road and Traffic,Road Surface Damage,Low
The road surface damage needs attention,Road and Traffic,Road Surface Damage,Medium
The road surface damage is not working Not working as it should.,Road and Traffic,Road Surface Damage,High
Reported a minor issue in road surface damage Urgent check needed.,Road and Traffic,Road Surface Damage,Critical
Road Surface Damage has minor problems.,Road and Traffic,Road Surface Damage,High
Road Surface Damage is not functioning well Can someone check?,Road and Traffic,Road Surface Damage,Critical
Road Surface Damage has minor problems Needs attention.,Road and Traffic,Road Surface Damage,Medium
There is an issue with the road surface damage.,Road and Traffic,Road Surface Damage,Medium
Road Surface Damage seems broken.,Road and Traffic,Road Surface Damage,High
Road Surface Damage is slightly malfunctioning Please fix it.,Road and Traffic,Road Surface Damage,Medium
The road surface damage needs attention Needs attention.,Road and Traffic,Road Surface Damage,High
Road Surface Damage is slightly malfunctioning Needs attention.,Road and Traffic,Road Surface Damage,Low
Road Surface Damage has minor problems Please fix it.,Road and Traffic,Road Surface Damage,Critical
The road surface damage is not working.,Road and Traffic,Road Surface Damage,Medium
Road Surface Damage is slightly malfunctioning Needs urgent review.,Road and Traffic,Road Surface Damage,Medium
The road surface damage is not working Needs urgent review.,Road and Traffic,Road Surface Damage,Low
There is an issue with the road surface damage Please fix it.,Road and Traffic,Road Surface Damage,Low
Road Surface Damage is not functioning well Might be dangerous.,Road and Traffic,Road Surface Damage,Critical
Road Surface Damage is not functioning well Needs quick inspection.,Road and Traffic,Road Surface Damage,High
The road surface damage needs attention Needs quick inspection.,Road and Traffic,Road Surface Damage,Medium
I saw a small problem in the road surface damage Please fix it.,Road and Traffic,Road Surface Damage,Critical
I saw a small problem in the road surface damage Urgent check needed.,Road and Traffic,Road Surface Damage,Critical
Road Surface Damage is not functioning well,Road and Traffic,Road Surface Damage,Medium
Reported a minor issue in road surface damage,Road and Traffic,Road Surface Damage,Medium
The road surface damage needs attention Urgent check needed.,Road and Traffic,Road Surface Damage,Critical
There is an issue with the road surface damage Not working as it should.,Road and Traffic,Road Surface Damage,Medium
Road Surface Damage is slightly malfunctioning Might be dangerous.,Road and Traffic,Road Surface Damage,Low
The road surface damage is not working Please fix it.,Road and Traffic,Road Surface Damage,High
Road Surface Damage has minor problems Needs quick inspection.,Road and Traffic,Road Surface Damage,Low
The road surface damage needs attention Please fix it.,Road and Traffic,Road Surface Damage,Low
Road Surface Damage has minor problems Urgent check needed.,Road and Traffic,Road Surface Damage,Critical
I saw a small problem in the road surface damage Needs attention.,Road and Traffic,Road Surface Damage,Critical
There is an issue with the road surface damage Needs urgent review.,Road and Traffic,Road Surface Damage,Critical
There is an issue with the road surface damage Can someone check?,Road and Traffic,Road Surface Damage,High
The traffic congestion needs attention Urgent check needed.,Road and Traffic,Traffic Congestion,Medium
Traffic Congestion seems broken Needs quick inspection.,Road and Traffic,Traffic Congestion,Medium
Traffic Congestion is not functioning well Urgent check needed.,Road and Traffic,Traffic Congestion,Critical
There is an issue with the traffic congestion Can someone check?,Road and Traffic,Traffic Congestion,Critical
The traffic congestion is not working Please fix it.,Road and Traffic,Traffic Congestion,Low
I saw a small problem in the traffic congestion Can someone check?,Road and Traffic,Traffic Congestion,Medium
I saw a small problem in the traffic congestion Needs attention.,Road and Traffic,Traffic Congestion,High
I saw a small problem in the traffic congestion Urgent check needed.,Road and Traffic,Traffic Congestion,Low
Traffic Congestion is slightly malfunctioning Needs quick inspection.,Road and Traffic,Traffic Congestion,Medium
The traffic congestion needs attention Not working as it should.,Road and Traffic,Traffic Congestion,Critical
Something isn't right with the traffic congestion.,Road and Traffic,Traffic Congestion,Medium
The traffic congestion is not working Not working as it should.,Road and Traffic,Traffic Congestion,High
The traffic congestion needs attention.,Road and Traffic,Traffic Congestion,Medium
The traffic congestion is not working Might be dangerous.,Road and Traffic,Traffic Congestion,High
Traffic Congestion has minor problems Needs quick inspection.,Road and Traffic,Traffic Congestion,High
I saw a small problem in the traffic congestion.,Road and Traffic,Traffic Congestion,High
Traffic Congestion has minor problems Not working as it should.,Road and Traffic,Traffic Congestion,Low
Traffic Congestion is not functioning well Not working as it should.,Road and Traffic,Traffic Congestion,Medium
Reported a minor issue in traffic congestion Not working as it should.,Road and Traffic,Traffic Congestion,Medium
The traffic congestion is not working Needs attention.,Road and Traffic,Traffic Congestion,Critical
Traffic Congestion is slightly malfunctioning Needs attention.,Road and Traffic,Traffic Congestion,High
The traffic congestion is not working Urgent check needed.,Road and Traffic,Traffic Congestion,High
Traffic Congestion is not functioning well Needs quick inspection.,Road and Traffic,Traffic Congestion,Critical
Reported a minor issue in traffic congestion Needs attention.,Road and Traffic,Traffic Congestion,Medium
Traffic Congestion seems broken Might be dangerous.,Road and Traffic,Traffic Congestion,Low
Traffic Congestion seems broken Please fix it.,Road and Traffic,Traffic Congestion,Critical
Traffic Congestion seems broken Can someone check?,Road and Traffic,Traffic Congestion,High
Traffic Congestion seems broken Urgent check needed.,Road and Traffic,Traffic Congestion,Medium
Reported a minor issue in traffic congestion Please fix it.,Road and Traffic,Traffic Congestion,High
There is an issue with the traffic congestion Urgent check needed.,Road and Traffic,Traffic Congestion,Low
Something isn't right with the traffic congestion Please fix it.,Road and Traffic,Traffic Congestion,Medium
The traffic congestion needs attention Needs attention.,Road and Traffic,Traffic Congestion,Low
There is an issue with the traffic congestion Needs quick inspection.,Road and Traffic,Traffic Congestion,Medium
Traffic Congestion has minor problems,Road and Traffic,Traffic Congestion,Medium
The traffic congestion is not working Needs quick inspection.,Road and Traffic,Traffic Congestion,High
The traffic congestion is not working.,Road and Traffic,Traffic Congestion,Medium
Traffic Congestion is not functioning well Can someone check?,Road and Traffic,Traffic Congestion,Medium
There is an issue with the traffic congestion Needs attention.,Road and Traffic,Traffic Congestion,High
Something isn't right with the traffic congestion Can someone check?,Road and Traffic,Traffic Congestion,Critical
Traffic Congestion seems broken Not working as it should.,Road and Traffic,Traffic Congestion,Medium
Traffic Congestion is not functioning well Might be dangerous.,Road and Traffic,Traffic Congestion,Medium
Reported a minor issue in traffic congestion Urgent check needed.,Road and Traffic,Traffic Congestion,Critical
I saw a small problem in the traffic congestion Might be dangerous.,Road and Traffic,Traffic Congestion,High
Traffic Congestion has minor problems Urgent check needed.,Road and Traffic,Traffic Congestion,Low
Traffic Congestion has minor problems Please fix it.,Road and Traffic,Traffic Congestion,Low
Traffic Congestion has minor problems Can someone check?,Road and Traffic,Traffic Congestion,Critical
The traffic congestion is not working Can someone check?,Road and Traffic,Traffic Congestion,High
Traffic Congestion has minor problems Might be dangerous.,Road and Traffic,Traffic Congestion,High
Reported a minor issue in traffic congestion.,Road and Traffic,Traffic Congestion,High
The traffic congestion needs attention Needs urgent review.,Road and Traffic,Traffic Congestion,Low
I saw a small problem in the traffic congestion Needs quick inspection.,Road and Traffic,Traffic Congestion,Low
Traffic Congestion has minor problems Needs urgent review.,Road and Traffic,Traffic Congestion,Critical
Something isn't right with the traffic congestion Needs urgent review.,Road and Traffic,Traffic Congestion,Medium
The traffic congestion needs attention Please fix it.,Road and Traffic,Traffic Congestion,Medium
Reported a minor issue in traffic congestion Needs urgent review.,Road and Traffic,Traffic Congestion,Critical
Traffic Congestion is slightly malfunctioning.,Road and Traffic,Traffic Congestion,Low
Traffic Congestion is not functioning well,Road and Traffic,Traffic Congestion,Low
Reported a minor issue in traffic congestion Can someone check?,Road and Traffic,Traffic Congestion,Critical
Traffic Congestion is not functioning well Needs urgent review.,Road and Traffic,Traffic Congestion,Medium
I saw a small problem in the traffic congestion Not working as it should.,Road and Traffic,Traffic Congestion,Low
The traffic congestion needs attention Can someone check?,Road and Traffic,Traffic Congestion,Critical
Something isn't right with the traffic congestion Needs quick inspection.,Road and Traffic,Traffic Congestion,Medium
Traffic Congestion is slightly malfunctioning Can someone check?,Road and Traffic,Traffic Congestion,High
Something isn't right with the traffic congestion Urgent check needed.,Road and Traffic,Traffic Congestion,Medium
I saw a small problem in the traffic congestion Needs urgent review.,Road and Traffic,Traffic Congestion,Low
The traffic congestion is not working,Road and Traffic,Traffic Congestion,Low
Traffic Congestion seems broken Needs urgent review.,Road and Traffic,Traffic Congestion,Medium
There is an issue with the traffic congestion Not working as it should.,Road and Traffic,Traffic Congestion,Low
Traffic Congestion is slightly malfunctioning Urgent check needed.,Road and Traffic,Traffic Congestion,High
Reported a minor issue in traffic congestion Needs quick inspection.,Road and Traffic,Traffic Congestion,High
Traffic Congestion seems broken Needs attention.,Road and Traffic,Traffic Congestion,Critical
Traffic Congestion is slightly malfunctioning Not working as it should.,Road and Traffic,Traffic Congestion,Low
Traffic Congestion is slightly malfunctioning Needs urgent review.,Road and Traffic,Traffic Congestion,High
Reported a minor issue in traffic congestion,Road and Traffic,Traffic Congestion,Critical
Traffic Congestion is not functioning well.,Road and Traffic,Traffic Congestion,Medium
There is an issue with the traffic congestion.,Road and Traffic,Traffic Congestion,Medium
There is an issue with the traffic congestion,Road and Traffic,Traffic Congestion,Medium
Something isn't right with the traffic congestion Might be dangerous.,Road and Traffic,Traffic Congestion,Low
Traffic Congestion is slightly malfunctioning Please fix it.,Road and Traffic,Traffic Congestion,High
The traffic congestion needs attention Might be dangerous.,Road and Traffic,Traffic Congestion,Critical
Something isn't right with the traffic congestion Not working as it should.,Road and Traffic,Traffic Congestion,Low
I saw a small problem in the traffic congestion,Road and Traffic,Traffic Congestion,Medium
There is an issue with the traffic congestion Please fix it.,Road and Traffic,Traffic Congestion,High
Traffic Congestion seems broken,Road and Traffic,Traffic Congestion,Critical
Traffic Congestion seems broken.,Road and Traffic,Traffic Congestion,Medium
Something isn't right with the traffic congestion,Road and Traffic,Traffic Congestion,Medium
The traffic congestion is not working Needs urgent review.,Road and Traffic,Traffic Congestion,Medium
Traffic Congestion is slightly malfunctioning Might be dangerous.,Road and Traffic,Traffic Congestion,Medium
Traffic Congestion has minor problems.,Road and Traffic,Traffic Congestion,Critical
Traffic Congestion is not functioning well Please fix it.,Road and Traffic,Traffic Congestion,Low
Something isn't right with the traffic congestion Needs attention.,Road and Traffic,Traffic Congestion,Medium
Traffic Congestion has minor problems Needs attention.,Road and Traffic,Traffic Congestion,Low
The traffic congestion needs attention,Road and Traffic,Traffic Congestion,Medium
There is an issue with the traffic congestion Might be dangerous.,Road and Traffic,Traffic Congestion,Low
There is an issue with the traffic congestion Needs urgent review.,Road and Traffic,Traffic Congestion,High
The traffic congestion needs attention Needs quick inspection.,Road and Traffic,Traffic Congestion,Medium
Traffic Congestion is not functioning well Needs attention.,Road and Traffic,Traffic Congestion,High
Traffic Congestion is slightly malfunctioning,Road and Traffic,Traffic Congestion,Low
Reported a minor issue in traffic congestion Might be dangerous.,Road and Traffic,Traffic Congestion,Low
I saw a small problem in the traffic congestion Please fix it.,Road and Traffic,Traffic Congestion,High
Reported a minor issue in crime reporting Can someone check?,Public Safety,Crime Reporting,Low
Crime Reporting is not functioning well Not working as it should.,Public Safety,Crime Reporting,Medium
Something isn't right with the crime reporting Needs urgent review.,Public Safety,Crime Reporting,Low
Crime Reporting is slightly malfunctioning Not working as it should.,Public Safety,Crime Reporting,Low
Something isn't right with the crime reporting.,Public Safety,Crime Reporting,Low
Crime Reporting seems broken Needs attention.,Public Safety,Crime Reporting,Low
The crime reporting is not working Can someone check?,Public Safety,Crime Reporting,Medium
Something isn't right with the crime reporting Needs attention.,Public Safety,Crime Reporting,Critical
Crime Reporting is not functioning well Needs urgent review.,Public Safety,Crime Reporting,Critical
The crime reporting needs attention Can someone check?,Public Safety,Crime Reporting,High
Crime Reporting is not functioning well Needs quick inspection.,Public Safety,Crime Reporting,Medium
There is an issue with the crime reporting Not working as it should.,Public Safety,Crime Reporting,Low
Crime Reporting seems broken Not working as it should.,Public Safety,Crime Reporting,Critical
Crime Reporting is slightly malfunctioning Needs urgent review.,Public Safety,Crime Reporting,Low
There is an issue with the crime reporting Might be dangerous.,Public Safety,Crime Reporting,Critical
Crime Reporting has minor problems Can someone check?,Public Safety,Crime Reporting,Low
Crime Reporting seems broken.,Public Safety,Crime Reporting,High
Crime Reporting is not functioning well Urgent check needed.,Public Safety,Crime Reporting,Critical
The crime reporting is not working Please fix it.,Public Safety,Crime Reporting,High
Crime Reporting is slightly malfunctioning Urgent check needed.,Public Safety,Crime Reporting,Low
Crime Reporting is not functioning well Please fix it.,Public Safety,Crime Reporting,High
Reported a minor issue in crime reporting Not working as it should.,Public Safety,Crime Reporting,Critical
Crime Reporting has minor problems Please fix it.,Public Safety,Crime Reporting,Low
Crime Reporting is slightly malfunctioning Needs quick inspection.,Public Safety,Crime Reporting,High
I saw a small problem in the crime reporting Might be dangerous.,Public Safety,Crime Reporting,Low
Crime Reporting is not functioning well Needs attention.,Public Safety,Crime Reporting,Low
The crime reporting is not working Might be dangerous.,Public Safety,Crime Reporting,High
Reported a minor issue in crime reporting Urgent check needed.,Public Safety,Crime Reporting,Low
Something isn't right with the crime reporting Might be dangerous.,Public Safety,Crime Reporting,Medium
The crime reporting needs attention Might be dangerous.,Public Safety,Crime Reporting,High
Reported a minor issue in crime reporting.,Public Safety,Crime Reporting,Critical
There is an issue with the crime reporting Needs attention.,Public Safety,Crime Reporting,Low
There is an issue with the crime reporting Urgent check needed.,Public Safety,Crime Reporting,Low
Something isn't right with the crime reporting Please fix it.,Public Safety,Crime Reporting,High
Something isn't right with the crime reporting Not working as it should.,Public Safety,Crime Reporting,Critical
Crime Reporting has minor problems Needs quick inspection.,Public Safety,Crime Reporting,Low
I saw a small problem in the crime reporting,Public Safety,Crime Reporting,Critical
I saw a small problem in the crime reporting Needs quick inspection.,Public Safety,Crime Reporting,Medium
There is an issue with the crime reporting.,Public Safety,Crime Reporting,Medium
There is an issue with the crime reporting Please fix it.,Public Safety,Crime Reporting,Medium
Something isn't right with the crime reporting Urgent check needed.,Public Safety,Crime Reporting,Critical
Reported a minor issue in crime reporting Needs urgent review.,Public Safety,Crime Reporting,Critical
Reported a minor issue in crime reporting Please fix it.,Public Safety,Crime Reporting,Medium
The crime reporting is not working.,Public Safety,Crime Reporting,Medium
Crime Reporting is slightly malfunctioning,Public Safety,Crime Reporting,High
There is an issue with the crime reporting Needs quick inspection.,Public Safety,Crime Reporting,Medium
The crime reporting needs attention,Public Safety,Crime Reporting,Low
The crime reporting is not working,Public Safety,Crime Reporting,Medium
Crime Reporting has minor problems Needs attention.,Public Safety,Crime Reporting,Medium
I saw a small problem in the crime reporting Not working as it should.,Public Safety,Crime Reporting,Critical
Crime Reporting has minor problems Might be dangerous.,Public Safety,Crime Reporting,Medium
Reported a minor issue in crime reporting,Public Safety,Crime Reporting,Critical
Crime Reporting is slightly malfunctioning Might be dangerous.,Public Safety,Crime Reporting,Low
The crime reporting needs attention.,Public Safety,Crime Reporting,Medium
Crime Reporting is not functioning well,Public Safety,Crime Reporting,Low
Something isn't right with the crime reporting,Public Safety,Crime Reporting,Medium
The crime reporting needs attention Needs urgent review.,Public Safety,Crime Reporting,Low
Crime Reporting has minor problems Not working as it should.,Public Safety,Crime Reporting,Critical
Something isn't right with the crime reporting Can someone check?,Public Safety,Crime Reporting,Low
I saw a small problem in the crime reporting Needs urgent review.,Public Safety,Crime Reporting,Low
Crime Reporting is not functioning well Might be dangerous.,Public Safety,Crime Reporting,Critical
Crime Reporting is slightly malfunctioning Needs attention.,Public Safety,Crime Reporting,Medium
The crime reporting is not working Not working as it should.,Public Safety,Crime Reporting,High
Crime Reporting seems broken Can someone check?,Public Safety,Crime Reporting,Low
The crime reporting is not working Needs urgent review.,Public Safety,Crime Reporting,Low
There is an issue with the crime reporting Needs urgent review.,Public Safety,Crime Reporting,Critical
I saw a small problem in the crime reporting.,Public Safety,Crime Reporting,High
The crime reporting needs attention Needs attention.,Public Safety,Crime Reporting,Low
Crime Reporting has minor problems,Public Safety,Crime Reporting,High
The crime reporting needs attention Not working as it should.,Public Safety,Crime Reporting,Critical
Crime Reporting seems broken,Public Safety,Crime Reporting,Critical
There is an issue with the crime reporting,Public Safety,Crime Reporting,High
Something isn't right with the crime reporting Needs quick inspection.,Public Safety,Crime Reporting,Critical
Crime Reporting has minor problems Urgent check needed.,Public Safety,Crime Reporting,Critical
Crime Reporting seems broken Please fix it.,Public Safety,Crime Reporting,Medium
Reported a minor issue in crime reporting Needs attention.,Public Safety,Crime Reporting,Low
Reported a minor issue in crime reporting Needs quick inspection.,Public Safety,Crime Reporting,High
I saw a small problem in the crime reporting Please fix it.,Public Safety,Crime Reporting,Critical
The crime reporting is not working Needs attention.,Public Safety,Crime Reporting,Critical
I saw a small problem in the crime reporting Needs attention.,Public Safety,Crime Reporting,Medium
Crime Reporting has minor problems.,Public Safety,Crime Reporting,High
Crime Reporting is slightly malfunctioning Please fix it.,Public Safety,Crime Reporting,Low
Crime Reporting seems broken Needs quick inspection.,Public Safety,Crime Reporting,Low
Reported a minor issue in crime reporting Might be dangerous.,Public Safety,Crime Reporting,Critical
The crime reporting is not working Urgent check needed.,Public Safety,Crime Reporting,Low
